team_name,common_name,country,matches_played,wins,points_per_game,league_position,goals_scored
Arsenal FC,Arsenal,England,38,21,1.84,5,73
Tottenham Hotspur FC,Tottenham Hotspur,England,38,23,1.87,4,67
Manchester City FC,Manchester City,England,38,32,2.58,1,95
Leicester City FC,Leicester City,England,38,15,1.37,9,51
Crystal Palace FC,Crystal Palace,England,38,14,1.29,12,51
Everton FC,Everton,England,38,15,1.42,8,54
Burnley FC,Burnley,England,38,11,01.05,15,45
Southampton FC,Southampton,England,38,9,01.03,16,45
AFC Bournemouth,AFC Bournemouth,England,38,13,1.18,14,56
Manchester United FC,Manchester United,England,38,19,1.74,6,65
Liverpool FC,Liverpool,England,38,30,2.55,2,89
Chelsea FC,Chelsea,England,38,21,1.89,3,63
West Ham United FC,West Ham United,England,38,15,1.37,10,52
Watford FC,Watford,England,38,14,1.32,11,52
Newcastle United FC,Newcastle United,England,38,12,1.18,13,42
Cardiff City FC,Cardiff City,Wales,38,10,0.89,18,34
Fulham FC,Fulham,England,38,7,0.68,19,34
Brighton & Hove Albion FC,Brighton & Hove Albion,England,38,9,0.95,17,35
Huddersfield Town FC,Huddersfield Town,England,38,3,0.42,20,22
Wolverhampton Wanderers FC,Wolverhampton Wanderers,England,38,16,1.5,7,47
