full_name,age,birthday_GMT,league,position,Current Club,nationality,goals_overall,assists_overall,penalty_goals,yellow_cards_overall,red_cards_overall
Aaron Cresswell,32,1989/12/15,Premier League,Defender,West Ham United,England,0,1,0,1,0
Aaron Lennon,35,1987/04/16,Premier League,Midfielder,Burnley,England,1,1,0,1,0
Aaron Mooy,32,1990/09/15,Premier League,Midfielder,Huddersfield Town,Australia,3,1,1,4,0
Aaron Ramsey,31,1990/12/26,Premier League,Midfielder,Arsenal,Wales,4,6,0,0,0
Aaron Rowe,22,2000/09/07,Premier League,Forward,Huddersfield Town,England,0,0,0,0,0
Aaron Wan-Bissaka,24,1997/11/26,Premier League,Midfielder,Crystal Palace,England,0,3,0,5,1
Abdelhamid Sabiri,25,1996/11/28,Premier League,Midfielder,Huddersfield Town,Morocco,0,0,0,0,0
Abdoulaye DoucourÃ©,29,1993/01/01,Premier League,Midfielder,Watford,France,5,6,0,7,0
Aboubakar Kamara,27,1995/03/07,Premier League,Forward,Fulham,France,3,0,1,2,0
Adalberto PeÃ±aranda Maestre,25,1997/05/31,Premier League,Forward,Watford,Venezuela,0,0,0,0,0
Adam David Lallana,34,1988/05/10,Premier League,Midfielder,Liverpool,England,0,0,0,1,0
Adam Masina,28,1994/01/02,Premier League,Defender,Watford,Italy,0,1,0,5,0
Adam Smith,31,1991/04/29,Premier League,Defender,AFC Bournemouth,England,1,1,0,6,1
Adama Diakhaby,26,1996/07/05,Premier League,Forward,Huddersfield Town,France,0,0,0,1,0
Adama TraorÃ© Diarra,26,1996/01/25,Premier League,Midfielder,Wolverhampton Wanderers,Spain,1,1,0,1,0
Ademola Lookman,25,1997/10/20,Premier League,Forward,Everton,England,0,2,0,0,0
Adrian Mariappa,36,1986/10/03,Premier League,Defender,Watford,Jamaica,0,0,0,3,0
AdriÃ¡n San Miguel del Castillo,35,1987/01/03,Premier League,Goalkeeper,West Ham United,Spain,0,0,0,0,0
Adrien Sebastian Perruchet Silva,33,1989/03/15,Premier League,Midfielder,Leicester City,Portugal,0,0,0,0,0
Ainsley Maitland-Niles,25,1997/08/29,Premier League,Midfielder,Arsenal,England,1,1,0,3,1
Alberto Moreno,30,1992/07/05,Premier League,Defender,Liverpool,Spain,0,0,0,0,0
Aleksandar MitroviÄ‡,28,1994/09/16,Premier League,Forward,Fulham,Serbia,11,3,1,7,0
Alex Iwobi,26,1996/05/03,Premier League,Forward,Arsenal,Nigeria,3,6,0,0,0
Alex McCarthy,32,1989/12/03,Premier League,Goalkeeper,Southampton,England,0,0,0,1,0
Alex Oxlade-Chamberlain,29,1993/08/15,Premier League,Midfielder,Liverpool,England,0,0,0,0,0
Alex Pritchard,29,1993/05/03,Premier League,Midfielder,Huddersfield Town,England,2,0,0,2,0
Alex Smithies,32,1990/03/05,Premier League,Goalkeeper,Cardiff City,England,0,0,0,0,0
Alexander SÃ¸rloth,26,1995/12/05,Premier League,Forward,Crystal Palace,Norway,0,0,0,0,0
Alexandre Lacazette,31,1991/05/28,Premier League,Forward,Arsenal,France,13,8,0,2,0
Alexandre Nascimento Costa Silva,25,1997/03/16,Premier League,Forward,West Ham United,Portugal,0,0,0,0,0
Alexis Sanchez,33,1988/12/19,Premier League,Forward,Manchester United,Chile,1,3,0,3,0
Alfie Jones,25,1997/10/07,Premier League,Defender,Southampton,England,0,0,0,0,0
Alfie Mawson,28,1994/01/19,Premier League,Defender,Fulham,England,0,0,0,2,0
Alfie Whiteman,24,1998/10/02,Premier League,Goalkeeper,Tottenham Hotspur,England,0,0,0,0,0
Ali Koiki,22,2000/08/22,Premier League,Defender,Burnley,England,0,0,0,0,0
Alireza Jahanbakhsh,29,1993/08/11,Premier League,Forward,Brighton & Hove Albion,Iran,0,0,0,2,0
Alisson Becker,30,1992/10/02,Premier League,Goalkeeper,Liverpool,Brazil,0,0,0,1,0
Alvaro Morata,30,1992/10/23,Premier League,Forward,Chelsea,Spain,5,0,0,3,0
Ander Herrera,33,1989/08/14,Premier League,Midfielder,Manchester United,Spain,2,3,0,4,0
AndrÃ© Filipe Tavares Gomes,29,1993/07/30,Premier League,Midfielder,Everton,Portugal,1,1,0,7,0
Andre Gray,31,1991/06/26,Premier League,Forward,Watford,England,7,2,0,2,0
AndrÃ© SchÃ¼rrle,31,1990/11/06,Premier League,Midfielder,Fulham,Germany,6,0,0,2,0
AndrÃ©-Frank Zambo Anguissa,26,1995/11/16,Premier League,Midfielder,Fulham,Cameroon,0,0,0,3,1
Andreas Christensen,26,1996/04/10,Premier League,Defender,Chelsea,Denmark,0,0,0,1,0
Andreas Pereira,26,1996/01/01,Premier League,Midfielder,Manchester United,Brazil,1,1,0,5,0
Andrew Robertson,28,1994/03/11,Premier League,Defender,Liverpool,Scotland,0,11,0,4,0
Andrew Surman,36,1986/08/20,Premier League,Midfielder,AFC Bournemouth,England,0,0,0,2,0
Andriy Yarmolenko,33,1989/10/23,Premier League,Forward,West Ham United,Ukraine,2,0,0,2,0
Andros Townsend,31,1991/07/16,Premier League,Midfielder,Crystal Palace,England,6,4,0,1,0
Andy Carroll,33,1989/01/06,Premier League,Forward,West Ham United,England,0,0,0,2,0
Angel Gomes,22,2000/08/31,Premier League,Midfielder,Manchester United,England,0,0,0,0,0
Angelo Ogbonna,34,1988/05/23,Premier League,Defender,West Ham United,Italy,1,1,0,2,0
Angus Gunn,26,1996/01/22,Premier League,Goalkeeper,Southampton,England,0,0,0,0,0
Anthony Driscoll-Glennon,22,1999/11/26,Premier League,Defender,Burnley,England,0,0,0,0,0
Anthony Knockaert,30,1991/11/20,Premier League,Midfielder,Brighton & Hove Albion,France,2,6,0,5,1
Anthony Martial,26,1995/12/05,Premier League,Forward,Manchester United,France,10,2,1,2,0
Antonio Barreca,27,1995/03/18,Premier League,Defender,Newcastle United,Italy,0,0,0,0,0
Antonio RÃ¼diger,29,1993/03/03,Premier League,Defender,Chelsea,Germany,1,0,0,7,0
Antonio Valencia,37,1985/08/04,Premier League,Defender,Manchester United,Ecuador,0,0,0,2,0
Arijanet Muric,23,1998/11/07,Premier League,Goalkeeper,Manchester City,Montenegro,0,0,0,0,0
Aron Einar Gunnarsson,33,1989/04/22,Premier League,Midfielder,Cardiff City,Iceland,1,1,0,5,0
Arthur Masuaku,28,1993/11/07,Premier League,Defender,West Ham United,France,0,1,0,2,0
Artur Boruc,42,1980/02/20,Premier League,Goalkeeper,AFC Bournemouth,Poland,0,0,0,2,0
Ashley Barnes,32,1989/10/30,Premier League,Forward,Burnley,England,12,2,2,8,0
Ashley Westwood,32,1990/04/01,Premier League,Midfielder,Burnley,England,2,7,0,5,0
Ashley Young,37,1985/07/09,Premier League,Midfielder,Manchester United,England,2,2,0,10,1
Asmir BegoviÄ‡,35,1987/06/20,Premier League,Goalkeeper,AFC Bournemouth,Bosnia and Herzegovina,0,0,0,0,0
Aymeric Laporte,28,1994/05/27,Premier League,Defender,Manchester City,France,3,3,0,3,0
Ayoze Perez,29,1993/07/29,Premier League,Forward,Newcastle United,Spain,12,2,0,2,0
Bakary Sako,34,1988/04/26,Premier League,Midfielder,Crystal Palace,Mali,0,0,0,0,0
Ben Chilwell,25,1996/12/21,Premier League,Defender,Leicester City,England,0,4,0,4,0
Ben Davies,29,1993/04/24,Premier League,Defender,Tottenham Hotspur,Wales,0,0,0,2,0
